ÒSan Francisco, Los Angeles, Black, 1Ó
ÒSan Francisco, Los Angeles, Red, 1Ó
ÒSan Francisco, Seattle, Blue, 3Ó
ÒSan Francisco, Seattle, Green, 3Ó
 ÒSeattle, Calgary, Red, 3Ó
ÒSeattle, Helens, Yellow, 2Ó
ÒSeattle, Salt Lake City, White, 3Ó
ÒSan Francisco, Salt Lake City, Green, 2Ó
ÒSan Francisco, Salt Lake City, Yellow, 2Ó
ÒLos Angeles, Salt Lake City, Red, 2Ó
ÒDenver, Salt Lake City, Blue, 2Ó
ÒDenver, Salt Lake City, Black, 2Ó
ÒHelens, Salt Lake City, Green, 1Ó
ÒHelens, Salt Lake City, Black, 1Ó
ÒHelens, Calgary, Red, 1Ó
ÒHelens, Calgary, White, 1Ó
ÒCalgary, Winnipeg, Yellow, 3Ó
ÒCalgary, Winnipeg, Green, 3Ó
ÒHelens, Winnipeg, Blue, 3Ó
ÒWinnipeg, Duluth, Black, 1Ó
ÒWinnipeg, Duluth, Red, 1Ó
ÒDenver, Duluth, Black, 4Ó
ÒKansas City, Duluth, White, 2Ó
ÒChicago, Duluth, Red, 1Ó
ÒChicago, Duluth, Blue, 1Ó
ÒKansas City, Dallas, Red, 1Ó
ÒKansas City, Dallas, Yellow, 1Ó
ÒKansas City, Chicago, Yellow, 1Ó
ÒKansas City, Chicago, Black, 1Ó
ÒMontreal, Duluth, Blue, 3Ó
ÒMontreal, Duluth, Green, 3Ó
ÒMontreal, Chicago, Yellow, 3Ó
ÒMontreal, New York, Black, 1Ó
ÒMontreal, New York, White, 1Ó
ÒNew York, Chicago, Red, 3Ó
ÒNew York, Chicago, White, 3Ó
ÒNew York, Washington, Blue, 1Ó
ÒNew York, Washington, Yellow, 1Ó
ÒWashington, Chicago, Black, 3Ó
ÒWashington, Miami, Green, 4Ó
ÒWashington, Miami, Red, 4Ó
ÒWashington, Atlanta, Yellow, 2Ó
ÒWashington, Atlanta, White, 2Ó
ÒDallas, Atlanta, White, 3Ó
ÒKansas City, Atlanta, Blue, 3Ó
ÒChicago, Atlanta, Blue, 2Ó
ÒMiami, Atlanta, Black, 2Ó
ÒMiami, Atlanta, Blue, 2Ó
ÒMiami, New Orleans, Yellow, 3Ó
ÒMiami, New Orleans, White, 3Ó
ÒDallas, New Orleans, Blue, 2Ó
ÒDallas, New Orleans, Red, 2Ó
