"Seattle, Calgary, Black, 3"
"Seattle, Calgary, Red, 3"
"Seattle, Helena, Yellow, 2"
"Seattle, Salt Lake City, Yellow, 3"
"Seattle, San Francisco, Blue, 3"
"Seattle, San Francisco, Green, 3"
"San Francisco, Salt Lake City, Yellow, 2"
"San Francisco, Salt Lake City, Green, 2"
"San Francisco, Los Angeles, Yellow, 1"
"San Francisco, Los Angeles, Red, 3"
"Los Angeles, Salt Lake City, Red, 2"
"Los Angeles, Albuqueque, Blue, 3"
"Los Angeles, Albuquerque, White, 3"
"Albuquerque, Dallas, Green, 2"
"Albuquerque, Dallas, Black, 2"
"Albuquerque, Denver, Blue, 1"
"Albuquerque, Salt Lake City, Yellow, 2"
"Salt Lake City, Denver, Blue, 2"
"Salt Lake City, Denver, Black, 2"
"Salt Lake City, Helena, Green, 1"
"Salt Lake City, Helena, Black, 1"
"Helena, Winnipeg, Blue, 3"
"Helena, Calgary, Red, 1"
"Helena, Calgary, White, 1"
"Calgary, Winnipeg, Yellow, 3"
"Calgary, Winnipeg, Green, 3"
"Winnipeg, Duluth, Black, 1"
"Winnipeg, Duluth, Red, 1"
"Duluth, Kansas City, Black, 4"
Duluth, Kansas City, Red, 2"
"Duluth, Chicago, Blue, 1"
"Duluth, Chicago, Red, 1"
"Duluth, Montreal, Blue, 3"
"Duluth, Motreal, Green, 3"
"Chicago, Kansas City, Black, 1"
"Chicago, Kansas City, Yellow, 1"
"Chicago, Washington, Black, 3"
"Chicago, Atlanta, Green 2"
"Kansas City, Dallas, Red, 1"
"Kansas City, Dallas, Yellow, 1"
"Dallas, New Orleans, Red, 2"
"Dallas, New Orleans, Blue, 2"
"New Orelans, Miami, Yellow, 3"
"New Orleans, Miami, White, 3"
"New Orelans, Atlanta, Red, 1"
"New Orleans, Atlanta,, Black, 1"
"Atlanta, Miami, Yellow, 2"
"Atlanta, Miami, Black, 2"
"Atlanta, Washington, Yellow, 2"
"Atlanta, Washington, White, 2"
"Miami, Washington, Green, 4"
"Miami, Washington. Red, 4"
"Washington, New York, Blue, 1"
"Washington, New York, Yellow, 1"
"New York, Chicago, Red, 3"
"New York, Chicago, White, 3"
"New York, Montreal, Black, 1"
"New York, Montreal, White, 1"

