"Lincoln Tower, Central Park, Orange, 2"
"Lincoln Tower, Times Square, Blue, 2"
"Lincoln Town, Times Square, Green, 2"
"Lincoln Tower, Midtown West, Red, 2"
"Central Park, United Nations, Pink, 3"
"Midtown West, Times Square, Gray, 1"
"Midtown West, Empire State Building, Green, 2"
"Midtown West, Chelsea, Purple, 2"
"Times Square, United Nations, Gray, 2"
"Times Square, Empire State Building, Pink, 1"
"Times Square, Empire State Building, Orange, 1"
"United Nations, Empire State Building, Gray, 2"
"United Nations, Gramercy Park, Green, 3"
"Empire State Building, Gramercy Park, Blue, 2"
"Empire State Building, Gramercy Park, Red, 2"
"Empire State Building, Chelsea, Gray, 2"
"Empire State Building, Chelsea, Gray, 2"
"Chelsea, Gramercy Park, Orange, 2"
"Chelsea, Greenwich Village, Red, 3"
"Chelsea, Greenwich Village, Green, 3"
"Chelsea, Soho, Pink, 4"
"Gramercy park, Greenwich Village, Black, 2"
"Gramercy park, Greenwich Village, Pink, 2"
"Gramercy Park, East Village, Gray, 2"
"East Village, Greenwich Village, Blue, 2"
"East Village, Lower East Side, Black, 2"
"Greenwich Village, Chinatown, Gray, 2"
"Greenwich Village, Chinatown, Gray, 2"
"Greenwich, Soho, Orange, 2"
"Soho, Wall Street, Gray, 2"
"Chinatown, Wall Street, Green, 1"
"Chinatown, Wall Street, Pink, 1"
"Chinatown, Brooklyn, Red, 3"
"Chinatown, Brooklyn, Orange, 3"
"Lower East Side, Brooklyn, Gray, 3"
"Wall Street, Brooklyn, Blue, 3"
"Wall Street, Brooklyn, Black, 3"




